node,lng,lat
783,-8.595342,41.1581552
784,-8.5946047,41.1590864
785,-8.6621741,41.1902376
786,-8.6618388,41.1900031
787,-8.6618828,41.1903145
788,-8.6621169,41.1905374
789,-8.6419497,41.1777905
790,-8.6412001,41.1771318
791,-8.6410779,41.1769862
792,-8.6408662,41.1764784
793,-8.6409925,41.1749747
794,-8.6384923,41.1708899
795,-8.6448855,41.1759031
796,-8.6448407,41.1763641
797,-8.6453996,41.1763749
798,-8.6465289,41.178247
799,-8.6425326,41.1782263
800,-8.6361398,41.1712779
801,-8.6378727,41.1707033
802,-8.6357613,41.1714068
803,-8.6340762,41.1740721
804,-8.6361336,41.1714814
805,-8.5665217,41.2007834
806,-8.5695287,41.1993611
807,-8.5710469,41.1989256
808,-8.5884475,41.1981776
809,-8.6380569,41.2056639
810,-8.6420935,41.2045323
811,-8.6477938,41.2032298
812,-8.6484148,41.2031257
813,-8.6555125,41.2019461
814,-8.6567227,41.201552
815,-8.5815693,41.1990859
816,-8.6540492,41.2020262
817,-8.6498647,41.2027163
818,-8.6468566,41.2032668
819,-8.6424951,41.2042762
820,-8.6379705,41.2054919
821,-8.6226369,41.2046041
822,-8.5951558,41.1969365
823,-8.5883012,41.1980541
824,-8.5847996,41.1982996
825,-8.6566653,41.2013094
826,-8.6265251,41.112436
827,-8.626422,41.1125885
828,-8.6296075,41.1161991
829,-8.558195,41.2407395
830,-8.5625931,41.2410776
831,-8.56701,41.2408335
832,-8.6035234,41.2404311
833,-8.6196351,41.2403265
834,-8.6314417,41.2409691
835,-8.6432475,41.2406076
836,-8.6459651,41.2410508
837,-8.6464536,41.2410332
838,-8.6497184,41.2399459
839,-8.6710408,41.2264282
840,-8.6932664,41.2324192
841,-8.6928995,41.2322929
842,-8.6714966,41.2264422
843,-8.6708822,41.2262042
844,-8.6567247,41.2279499
845,-8.6501559,41.2393675
846,-8.6457134,41.2408178
847,-8.6456173,41.2408212
848,-8.641107,41.2398099
849,-8.6330115,41.240091
850,-8.6036572,41.2402355
851,-8.5961364,41.2380105
852,-8.5701328,41.2402197
853,-8.5565166,41.2403794
854,-8.6957953,41.2346985
855,-8.6064829,41.108628
856,-8.6067431,41.1085316
857,-8.625565,41.1169423
858,-8.6233907,41.114588
859,-8.6235364,41.1144594
