edge,s_node,e_node,s_lng,s_lat,e_lng,e_lat,c_lng,c_lat
151,5675,32,-122.4708872,37.7508889,-122.4690178,37.7508087,-122.4699525,37.7508488
152,32,5675,-122.4690178,37.7508087,-122.4708872,37.7508889,-122.4699525,37.7508488
153,33,32,-122.4686316,37.7508352,-122.4690178,37.7508087,-122.4688247,37.75082195
154,32,33,-122.4690178,37.7508087,-122.4686316,37.7508352,-122.4688247,37.75082195
155,33,34,-122.4686316,37.7508352,-122.4685327,37.7492161,-122.46858215,37.75002565
156,34,33,-122.4685327,37.7492161,-122.4686316,37.7508352,-122.46858215,37.75002565
157,33,5905,-122.4686316,37.7508352,-122.4674013,37.7490316,-122.46801645,37.7499334
158,5905,33,-122.4674013,37.7490316,-122.4686316,37.7508352,-122.46801645,37.7499334
159,35,36,-122.4684993,37.7489418,-122.4683702,37.74708,-122.46843475,37.7480109
160,36,35,-122.4683702,37.74708,-122.4684993,37.7489418,-122.46843475,37.7480109
161,35,5372,-122.4684993,37.7489418,-122.4695653,37.7489068,-122.46903230000001,37.7489243
162,5372,35,-122.4695653,37.7489068,-122.4684993,37.7489418,-122.46903230000001,37.7489243
163,5905,35,-122.4674013,37.7490316,-122.4684993,37.7489418,-122.46795030000001,37.7489867
164,35,5905,-122.4684993,37.7489418,-122.4674013,37.7490316,-122.46795030000001,37.7489867
165,1490,36,-122.4665996,37.7472974,-122.4683702,37.74708,-122.46748489999999,37.747188699999995
166,36,1490,-122.4683702,37.74708,-122.4665996,37.7472974,-122.46748489999999,37.747188699999995
167,36,8983,-122.4683702,37.74708,-122.4684417,37.7471018,-122.46840595,37.7470909
168,8983,36,-122.4684417,37.7471018,-122.4683702,37.74708,-122.46840595,37.7470909
169,37,37,-122.4711296,37.7863889,-122.4711296,37.7863889,-122.4711296,37.7863889
170,540,37,-122.470059,37.7864373,-122.4711296,37.7863889,-122.4705943,37.786413100000004
171,37,540,-122.4711296,37.7863889,-122.470059,37.7864373,-122.4705943,37.786413100000004
172,37,541,-122.4711296,37.7863889,-122.4722023,37.7863403,-122.47166595,37.7863646
173,541,37,-122.4722023,37.7863403,-122.4711296,37.7863889,-122.47166595,37.7863646
174,37,38,-122.4711296,37.7863889,-122.4709958,37.7845276,-122.4710627,37.78545825
175,38,37,-122.4709958,37.7845276,-122.4711296,37.7863889,-122.4710627,37.78545825
176,38,39,-122.4709958,37.7845276,-122.4708615,37.7826596,-122.47092864999999,37.7835936
177,39,38,-122.4708615,37.7826596,-122.4709958,37.7845276,-122.47092864999999,37.7835936
178,38,1213,-122.4709958,37.7845276,-122.4720688,37.7844788,-122.4715323,37.7845032
