section_id,s_node,e_node,length
519,18795,141,64.00399999999999
520,4937,142,98.831
521,142,4937,98.831
522,142,2051,82.97800000000001
523,2051,142,82.97800000000001
524,2043,142,100.154
525,10693,142,78.274
526,143,144,26.436
527,2051,143,46.208
528,143,2051,46.208
529,2030,143,25.548
530,144,2022,21.472
531,2030,144,22.131
532,30809,144,16.346
533,145,2019,21.601
534,145,2024,74.877
535,2032,145,28.78
536,146,22475,57.558
537,22475,146,57.558
538,146,6924,77.13699999999999
539,6910,146,80.43299999999999
540,30483,146,13.88
541,29615,147,97.801
542,147,29615,97.801
543,147,4957,47.527
544,147,42775,425.579
545,43456,147,266.798
546,148,22386,24.93
547,148,6058,113.895
548,6135,148,17.973
549,6140,148,126.546
550,149,150,120.083
551,149,13662,123.44400000000002
552,13662,149,123.44400000000002
553,149,1990,90.438
554,13670,149,89.40700000000001
555,150,13665,77.04
556,13666,150,65.922
557,150,13666,65.922
558,151,152,52.244
559,152,151,52.244
560,151,22614,11.719
561,22614,151,11.719
562,33875,151,17.963
563,151,33875,17.963
564,152,10169,71.528
565,13675,152,126.43900000000002
566,13679,153,49.406
567,153,13679,49.406
568,153,164,167.313
569,154,13679,45.582
570,13679,154,45.582
571,155,13676,159.429
572,166,155,56.223
573,36695,155,42.11
574,156,27813,56.54
575,9476,156,74.48
576,23953,156,266.11999999999995
577,157,1983,79.051
578,1983,157,214.593
579,157,1984,106.532
580,22611,157,37.441
581,158,235,93.628
582,158,31271,147.85
583,31271,158,147.85
584,1980,158,26.846
585,158,1980,26.846
586,31269,158,93.516
587,38769,159,158.12599999999998
588,159,38769,158.12599999999998
589,160,236,100.995
590,162,160,104.933
591,237,160,279.495
592,161,24281,72.597
593,239,161,79.982
594,241,161,48.451
595,167,162,97.262
596,162,167,97.262
597,163,162,143.82000000000002
598,171,163,276.471
599,24271,163,30.571
600,164,38769,43.828
601,164,28448,51.738
602,13676,164,35.271
603,165,13681,27.192
604,165,166,87.14800000000001
605,13686,165,83.456
606,32406,165,61.855
607,166,13677,22.899
608,13687,166,62.606
609,167,32931,10.065
610,167,25576,125.204
611,25576,167,125.204
612,27686,167,123.636
613,167,27686,123.636
614,24063,167,82.105
615,168,31270,127.93
616,5703,168,573.4060000000002
617,31124,168,428.4080000000001
618,169,6173,66.816
619,169,6172,58.004
620,6172,169,58.004
621,169,21690,78.523
622,3358,169,96.587
623,170,6726,49.526
624,170,4938,83.25800000000001
625,4810,170,291.819
626,171,22643,46.09100000000001
627,171,13705,17.298000000000002
628,28448,171,33.179
629,172,31114,65.226
630,172,16154,28.727
631,3067,172,41.49
632,3072,172,89.809
633,16158,172,106.68399999999998
634,173,9840,84.083
635,173,9888,45.359
636,33198,173,102.904
637,173,33198,102.904
638,42869,173,85.624
639,9839,174,114.992
640,174,9839,114.992
641,175,5694,816.762
642,176,175,115.766
643,20165,175,86.61
644,176,20165,57.81
645,19282,176,2088.343
646,177,19282,612.4809999999999
647,177,29250,93.851
648,19276,177,1199.7759999999998
649,178,18408,157.796
650,183,178,283.398
651,1657,178,527.987
652,179,1653,278.698
653,13572,179,437.378
654,13575,179,181.96500000000003
655,180,23000,47.901
656,180,22996,83.774
657,23007,180,68.72800000000001
658,181,1073,131.338
659,181,39146,112.96
660,3235,181,56.273
661,182,1074,227.40500000000003
662,182,23930,16.96
663,1709,182,34.009
664,183,184,358.66700000000003
665,1652,183,142.729
666,184,1655,108.657
667,1657,184,290.515
668,185,2816,332.671
669,185,3554,2438.6830000000004
670,6412,185,700.278
671,186,1059,195.021
672,186,15046,1254.172
673,4614,186,1138.0880000000002
674,187,1207,305.82
675,187,12797,1714.81
676,21746,187,152.567
677,188,1263,65.958
678,188,189,87.342
679,1207,188,92.02
680,189,1263,101.736
681,189,190,12.524
682,190,189,12.524
683,25792,190,16.562
684,190,25792,16.562
685,190,12710,108.873
686,191,13265,88.876
687,13265,191,88.876
688,191,12745,105.564
689,12745,191,105.564
690,12710,191,460.889
691,192,193,36.049
692,192,13268,29.573
693,24403,192,78.851
694,193,13275,21.998
695,13275,193,21.998
696,193,13268,29.259
697,194,13270,57.572
698,28966,194,14.503
699,194,28966,14.503
700,194,25775,119.351
701,25775,194,119.351
702,13275,194,87.58000000000001
703,194,13275,87.58000000000001
704,28960,195,16.87
705,195,28960,16.87
706,34701,195,37.043
707,195,34701,37.043
708,195,29583,150.43699999999998
709,195,26284,24.684
710,26284,195,24.684
711,25807,196,26.844
712,196,25807,26.844
713,196,13278,146.62
714,13278,196,146.62
715,25809,196,40.01
716,197,9285,34.373
717,9285,197,34.373
718,198,197,53.907
719,197,198,53.907
720,7065,197,198.529
721,197,7065,198.529
722,7069,198,46.839
723,198,7069,46.839
724,1627,198,82.07
725,198,1627,82.07
726,199,9470,55.95
727,9470,199,55.95
728,199,7034,368.124
729,7047,199,93.697
730,199,7047,93.697
731,9473,200,54.94
732,200,9473,54.94
733,200,9474,183.238
734,9474,200,183.238
735,200,6655,73.781
736,6655,200,73.781
737,201,422,13.177
738,422,201,13.177
739,201,6593,105.011
740,6593,201,105.011
741,7126,201,44.991
742,201,7126,44.991
743,202,6621,72.758
744,6621,202,82.911
745,422,202,78.628
746,6690,203,20.103
747,203,6690,20.103
748,203,416,53.565
749,416,203,53.565
750,6621,203,77.51
751,7118,204,6.618
752,204,7118,6.618
753,204,7986,287.075
754,204,7117,57.548
755,7117,204,57.548
756,1120,205,146.511
757,205,1120,146.511
758,205,6691,359.70300000000003
759,6691,205,359.70300000000003
760,7986,205,82.369
761,205,7986,82.369
762,206,8010,95.674
763,206,19864,241.383
764,425,206,33.433
765,19863,206,31.009
766,207,24430,20.643
767,24430,207,20.643
768,24430,207,59.517
769,207,24430,59.517
770,207,24469,95.157
771,24469,207,95.157
772,208,7129,8.727
773,208,7130,196.84
774,7131,208,20.806
775,25793,208,40.598
776,10157,209,147.32399999999998
777,209,10157,147.32399999999998
778,209,10156,131.295
779,10159,209,69.35300000000001
780,19853,209,53.504
781,210,10151,283.157
782,210,10150,68.134
783,19855,210,151.98000000000002
784,211,10148,68.59
785,9563,211,101.116
786,10150,211,42.376
787,212,22457,58.622
788,12595,212,115.805
789,212,12595,115.805
790,26028,212,140.264
791,213,22451,56.029
792,7007,213,45.327
793,213,7007,45.327
794,22453,213,90.272
795,22455,213,93.893
796,22458,213,155.61999999999998
797,214,25550,432.1939999999998
798,25550,214,432.1939999999998
799,214,12618,158.40699999999998
800,12618,214,158.40699999999998
801,23633,214,240.708
802,214,23633,240.708
803,12617,214,77.726
804,215,12630,140.293
805,215,216,219.483
806,216,215,219.483
807,12618,215,195.529
808,215,12618,195.529
809,216,217,208.203
810,217,216,208.203
811,12631,216,133.909
812,217,22403,14.123
813,13733,217,69.659
814,218,12648,30.698
815,6138,218,50.343
816,22403,218,76.45899999999999
817,219,22410,57.653000000000006
818,219,41204,7.875999999999999
819,27789,219,29.822
820,220,21929,149.01799999999997
821,220,221,311.037
822,14958,220,226.456
823,221,10313,888.0749999999999
824,37731,221,151.037
825,222,27766,18.11
826,222,14046,92.561
827,4686,222,171.35000000000002
828,27765,222,32.817
829,223,14059,59.512
830,28787,223,19.839
831,38018,223,9.338
832,224,2494,15.516
833,224,28411,34.754
834,28411,224,34.754
835,224,9328,29.17
836,25984,224,14.841
837,35574,224,61.407
838,225,41762,15.45
839,41762,225,15.45
840,3654,225,81.77
841,225,3654,81.77
842,225,41763,20.655
843,226,440,69.261
844,431,226,201.237
845,226,431,201.237
846,441,226,50.62799999999999
847,226,441,50.62799999999999
848,447,226,110.998
849,227,2295,116.505
850,227,432,109.725
851,432,227,109.725
852,41573,227,196.176
853,227,41573,196.176
854,228,38302,42.956
855,619,228,35.707
856,37147,229,29.367
857,229,37147,29.367
858,229,37145,42.78
859,37145,229,42.78
860,229,37146,28.981
861,37146,229,28.981
862,230,38202,65.299
863,230,1511,29.548
864,41390,230,46.877
865,231,2071,19.369
866,231,27790,31.922
867,311,231,43.849
868,3374,231,26.851
869,232,27759,40.103
870,232,24491,79.174
871,24491,232,79.174
872,2844,232,70.543
873,232,2844,70.543
874,233,2843,69.246
875,2908,233,70.614
876,10136,233,67.973
877,234,9475,188.94199999999995
878,9475,234,188.94199999999995
879,235,24271,68.436
880,26539,235,60.07299999999999
881,236,239,83.28099999999999
882,236,237,66.842
883,237,236,66.842
884,31329,237,76.61
885,238,31329,8.301
886,238,28268,10.75
887,28269,238,43.055
888,239,243,41.845
889,240,9478,85.013
890,240,9476,52.687
891,18796,240,42.658
892,242,241,95.706
893,243,241,65.804
894,244,241,59.116
895,18797,242,122.57200000000002
896,242,18797,122.57200000000002
897,242,18796,55.082
898,244,242,57.661
899,243,28268,49.821
900,28268,243,49.821
901,24281,244,71.068
902,245,1092,36.486
903,245,468,40.765
904,1749,245,106.965
905,245,1749,106.965
906,16466,245,184.85900000000004
907,246,250,103.28000000000002
908,246,15519,105.212
909,15519,246,105.212
910,246,32951,98.476
911,32951,246,98.476
912,246,511,93.99599999999998
913,511,246,93.99599999999998
914,247,1751,56.444
915,1750,247,68.696
916,1754,247,76.97099999999999
917,248,596,81.416
918,248,509,80.503
919,250,248,77.686
920,6908,248,95.2
921,249,486,106.489
922,249,591,57.33
923,592,249,57.631
924,250,498,95.686
925,595,250,86.253
926,588,251,104.684
927,251,588,104.684
928,251,1754,71.681
929,251,1757,81.99499999999999
930,251,1751,76.175
931,1751,251,76.175
932,252,6905,436.1009999999999
933,252,28446,207.935
934,38614,252,78.946
935,253,28438,14.54
936,28438,253,14.54
937,253,16213,118.39
938,6902,253,47.186
939,253,6902,47.186
940,16585,253,42.356
941,254,260,69.839
942,254,266,68.62100000000001
943,30849,254,38.449
944,32802,254,22.168
945,255,515,147.759
946,255,518,46.553
947,4949,255,12.433
948,256,257,69.6
949,256,267,94.922
950,259,256,79.638
951,6903,256,59.226
952,257,513,81.639
953,257,35117,56.58
954,260,257,78.672
955,258,513,67.887
956,513,258,67.887
957,258,35117,22.375
958,32812,258,56.035
959,259,6902,59.138
960,6902,259,59.138
961,513,259,83.035
962,259,513,83.035
963,260,267,72.338
964,6906,260,89.682
965,261,6906,80.28
966,267,261,114.532
967,16210,261,25.736
968,262,991,93.924
969,262,578,98.081
970,572,262,86.28699999999999
971,574,262,79.022
972,263,41354,41.583
973,585,263,70.334
974,41355,263,43.661
975,264,26535,69.69699999999999
976,26535,264,69.69699999999999
977,264,480,45.634
978,825,264,45.005
979,860,264,95.451
980,265,552,112.29900000000002
981,265,559,102.246
982,814,265,78.46000000000001
983,266,6909,91.614
984,514,266,60.176
985,6906,266,70.838
986,267,6904,60.881
987,268,1508,13.021
988,268,297,76.881
989,41391,268,207.493
990,269,1504,27.823
991,33235,269,11.489
992,269,33235,11.489
993,269,1502,96.778
994,1373,269,73.591
995,1503,269,28.652
996,30152,269,53.328
997,270,1373,78.29700000000001
998,270,1372,159.264
999,1372,270,159.264
1000,1504,270,114.809
1001,271,1558,29.196
1002,1558,271,29.196
1003,1557,271,37.429
1004,271,1557,37.429
1005,3434,271,83.956
1006,272,1433,221.50900000000007
1007,4860,272,33.014
1008,272,4860,33.014
1009,272,24299,36.037
1010,24299,272,36.037
1011,273,272,270.658
1012,273,4858,15.811
1013,1551,273,64.916
1014,274,1369,45.627
1015,1369,274,45.627
1016,1490,274,83.224
1017,274,1490,83.224
1018,1482,274,67.923
1019,274,1482,67.923
1020,3507,274,155.483
1021,275,1368,103.489
1022,1368,275,103.489
1023,21070,275,105.401
1024,275,21070,105.401
1025,275,32357,180.581
1026,275,1497,63.466
1027,1497,275,63.466
1028,276,277,62.21900000000001
1029,277,276,62.21900000000001
1030,1368,276,48.188
1031,276,1368,48.188
1032,1496,276,80.875
1033,277,1423,41.07
1034,1378,277,67.703
1035,278,279,64.66
1036,1377,278,181.081
1037,1423,278,36.124
1038,279,30183,37.175
1039,279,30184,22.451
1040,30184,279,22.451
1041,279,1378,78.682
1042,280,31118,37.059
1043,31118,280,37.059
1044,31119,280,31.732
1045,280,31119,31.732
1046,6943,280,171.19700000000003
1047,280,6943,171.19700000000003
1048,1379,280,74.819
1049,280,1379,74.819
1050,281,11662,16.802
1051,281,773,187.769
1052,11910,281,22.332
1053,26397,281,26.684
1054,282,1332,35.289
1055,282,695,283.34000000000003
1056,12086,282,44.540000000000006
1057,283,17632,131.201
1058,17635,283,47.873
1059,34132,283,27.031
1060,284,398,66.646
1061,3359,284,69.913
1062,3362,284,72.008
1063,285,1077,81.395
1064,285,37230,102.49
1065,43756,285,184.231
1066,286,5827,96.508
1067,286,393,109.236
1068,287,286,159.31600000000003
1069,22595,286,56.076
1070,287,43763,184.903
1071,393,287,66.4
1072,288,5624,159.943
1073,5624,288,159.943
1074,288,291,129.93
1075,289,288,97.869
1076,288,289,97.869
1077,289,319,208.727
1078,290,289,28.252
1079,3711,289,251.15
1080,290,1733,137.732
1081,29604,290,157.531
1082,291,292,92.631
1083,12293,291,121.895
1084,292,293,102.023
1085,293,292,102.023
1086,3711,292,68.108
1087,292,3711,68.108
1088,293,12293,122.404
1089,293,31123,105.731
1090,31123,293,105.731
1091,12292,293,381.691
1092,294,29602,119.20499999999998
1093,294,1719,47.363
1094,295,294,36.503
1095,295,5703,39.7
1096,5704,295,46.067
1097,29605,295,20.587
1098,296,297,120.566
1099,312,296,56.814
1100,1511,296,110.377
1101,297,30583,114.141
1102,297,1508,78.44999999999999
1103,297,313,38.908
1104,298,299,59.542
1105,298,302,118.55
1106,303,298,78.655
1107,328,298,58.185
1108,299,312,52.339000000000006
1109,299,301,117.908
1110,300,299,119.974
1111,300,3374,6.037
1112,303,300,73.024
1113,300,303,73.024
1114,311,300,65.77699999999999
1115,301,302,58.388000000000005
1116,313,301,54.182
1117,315,301,164.043
1118,302,305,57.888
1119,1507,302,109.955
1120,330,303,70.026
1121,303,330,70.026
1122,304,30583,90.922
1123,30583,304,90.922
1124,304,41123,429.791
1125,1508,304,106.77700000000002
1126,3373,304,14.672
1127,305,1559,21.034
1128,305,306,109.65
1129,34109,305,163.66499999999996
1130,306,1507,58.718
