section_id,s_node,e_node,length,direction
51611,19210,19209,11.722000000000001,0
51612,23703,19209,37.793,0
51613,23700,19210,9.763,1
51614,19210,23700,9.763,1
51615,23699,19210,179.68599999999998,0
51616,31335,19210,13.113,0
51617,31351,19211,11.561,1
51618,19211,31351,11.561,1
51619,19211,19812,280.79,1
51620,19812,19211,280.79,1
51621,31352,19211,35.28,0
51622,31487,19212,15.384,1
51623,19212,31487,15.384,1
51624,19213,19212,64.59100000000001,0
51625,19213,19216,179.49399999999997,1
51626,19216,19213,179.49399999999997,1
51627,31487,19213,64.01,0
51628,20168,19214,38.167,1
51629,19214,20168,38.167,1
51630,19214,19215,97.561,1
51631,19215,19214,97.561,1
51632,19216,19214,82.4,1
51633,19214,19216,82.4,1
51634,19215,42456,34.426,0
51635,19218,19215,35.393,0
51636,19216,20168,81.18700000000003,1
51637,20168,19216,81.18700000000003,1
51638,19217,26935,65.408,1
51639,26935,19217,65.408,1
51640,19217,26924,51.367,0
51641,26886,19217,50.626000000000005,0
51642,19218,42456,24.781999999999996,0
51643,19221,19218,7.9060000000000015,0
51644,19219,19220,10.271999999999998,0
51645,19227,19219,34.327,0
51646,42457,19219,23.956999999999997,0
51647,19220,19226,72.203,0
51648,19220,40402,29.791000000000004,0
51649,19225,19221,56.434,0
51650,42455,19221,22.939,0
51651,19227,19222,28.721999999999998,1
51652,19222,19227,28.721999999999998,1
51653,19222,29631,30.065999999999995,0
51654,29623,19222,38.819,0
51655,19223,19224,29.996,0
51656,19223,29622,32.265,0
51657,19237,19223,98.696,0
51658,19224,29622,31.018,0
51659,19224,19225,88.20200000000001,1
51660,19225,19224,88.20200000000001,1
51661,42455,19225,56.858000000000004,0
51662,19226,40402,73.52600000000001,0
51663,19226,31510,500.16900000000004,1
51664,31510,19226,500.16900000000004,1
51665,42457,19227,34.388000000000005,0
51666,19228,29637,12.776,0
51667,19230,19228,33.473,0
51668,29624,19228,13.434000000000001,0
51669,19229,29623,8.992,0
51670,19231,19229,539.3009999999998,0
51671,29637,19229,35.148999999999994,0
51672,40658,19230,81.652,1
51673,19230,40658,81.652,1
51674,29631,19230,26.951,0
51675,19232,19231,71.10300000000002,0
51676,26924,19231,90.46799999999999,0
51677,19232,26886,107.376,0
51678,39648,19232,33.486,0
51679,19233,26935,52.794,0
51680,19233,23698,8.972999999999999,0
51681,19234,19233,45.903999999999996,0
51682,25624,19234,129.58100000000002,1
51683,19234,25624,129.58100000000002,1
51684,19236,19234,49.051,0
51685,19235,25624,71.459,1
51686,25624,19235,71.459,1
51687,26910,19235,150.958,1
51688,19235,26910,150.958,1
51689,19236,23698,20.178,0
51690,26900,19236,34.271,0
51691,19237,19238,47.57899999999999,1
51692,19238,19237,47.57899999999999,1
51693,19238,34317,118.111,1
51694,34317,19238,118.111,1
51695,34791,19238,10.152000000000001,1
51696,19238,34791,10.152000000000001,1
51697,19239,19240,73.676,0
51698,19244,19239,104.399,0
51699,19240,31519,83.836,0
51700,19241,29635,2.9989999999999997,0
51701,19242,19241,81.17200000000003,0
51702,34315,19243,105.65,1
51703,19243,34315,105.65,1
51704,19243,43013,105.53900000000002,1
51705,43013,19243,105.53900000000002,1
51706,34318,19243,79.209,0
51707,34318,19244,19.787,1
51708,19244,34318,19.787,1
51709,19245,19254,8.656,0
51710,19245,19255,71.12299999999998,0
51711,19246,19247,64.263,1
51712,19247,19246,64.263,1
51713,19251,19246,134.44299999999998,0
51714,19247,43007,259.51900000000006,1
51715,43007,19247,259.51900000000006,1
51716,19247,40229,80.929,1
51717,40229,19247,80.929,1
51718,19248,19249,67.316,1
51719,19249,19248,67.316,1
51720,19248,37024,83.022,0
51721,19254,19248,76.47,0
51722,19249,19250,198.215,1
51723,19250,19249,198.215,1
51724,19249,31508,358.625,1
51725,31508,19249,358.625,1
51726,19252,19251,72.482,0
51727,19253,19251,7.769,0
51728,37024,19252,55.555,0
51729,43741,19253,188.6260000000001,0
51730,19256,19257,83.71600000000001,0
51731,19256,41445,14.699000000000002,0
