section_id,s_node,e_node,length,direction,interval
13116,4460,6611,131.263,0,0.0
13117,5176,4461,6.659,1,0.0
13118,4461,5176,6.659,1,0.10944528877735138
13119,4462,5176,9.382,1,0.21777492761611938
13120,5176,4462,9.382,1,0.0
13121,4462,4463,206.057,0,0.17060613632202148
13122,34268,4462,119.415,1,0.0
13123,4462,34268,119.415,1,0.18844157457351685
13124,33345,4463,15.768,1,0.14896202087402344
13125,4463,33345,15.768,1,0.0
13126,30821,4463,258.2289999999999,0,0.0
13127,4471,4464,10.33,1,0.13044849038124084
13128,4464,4471,10.33,1,0.18552297353744507
13129,4464,4465,47.21100000000001,0,0.46371886134147644
13130,4464,4469,34.568000000000005,1,0.4533037543296814
13131,4469,4464,34.568000000000005,1,0.2793843448162079
13132,4465,37283,35.184,0,0.2621048092842102
13133,34015,4465,14.911,1,0.010183308273553848
13134,4465,34015,14.911,1,0.28598716855049133
13135,4466,36817,42.537,0,0.06245024502277374
13136,4466,5171,15.401,0,0.05780191719532013
13137,6637,4466,86.45299999999997,0,0.0
13138,37283,4466,95.79,0,0.347059965133667
13139,38753,4467,13.678,0,0.13188940286636353
13140,4468,5171,126.197,0,0.3022598922252655
13141,4468,6635,15.207,0,0.2697433829307556
13142,6547,4468,143.988,0,0.0
13143,34015,4469,39.893,0,0.0
13144,4470,6638,9.456,1,0.1606876701116562
13145,6638,4470,9.456,1,0.1197420135140419
13146,4470,4471,54.313,0,0.1657455712556839
13147,4472,6982,97.446,0,0.08145176619291306
13148,4472,34697,127.13,1,0.07820043712854385
13149,34697,4472,127.13,1,0.3056880235671997
13150,4472,6650,101.843,1,0.07635008543729782
13151,6650,4472,101.843,1,0.0
13152,4865,4472,204.32,0,0.20059481263160706
13153,4473,6651,70.72800000000002,0,0.2148110568523407
13154,4473,4474,42.615,1,0.21075668931007385
13155,4474,4473,42.615,1,0.06126406788825989
13156,6632,4473,163.05100000000004,1,0.0
13157,4473,6632,163.05100000000004,1,0.19934546947479248
13158,6634,4473,147.789,0,0.2850581407546997
13159,4474,4475,70.42800000000003,0,0.04343542456626892
13160,6054,4474,62.548,0,0.0
13161,4475,5737,74.702,0,0.0
13162,6054,4475,25.872,0,0.0
13163,4476,6580,95.954,0,0.2714124917984009
13164,4476,34662,50.07899999999999,0,0.30426454544067383
13165,4476,8057,106.581,0,0.29522705078125
13166,4476,6054,27.521,0,0.30826249718666077
13167,6564,4476,154.85399999999996,0,0.0
13168,4477,32512,133.374,0,0.004183650016784668
13169,4477,4478,16.177,0,0.0
13170,4479,4477,44.31999999999999,0,0.4797789454460144
13171,4478,4480,76.51,0,0.7181876301765442
13172,32511,4478,134.315,0,0.12801533937454224
13173,4479,4480,63.62300000000001,0,0.48209065198898315
13174,4483,4479,30.1,0,0.0708148404955864
13175,35624,4479,135.947,0,0.0
13176,4480,16137,236.80900000000003,0,0.08694672584533691
13177,4480,4482,20.719,0,0.1155863106250763
13178,4481,6641,9.359,1,0.0
13179,6641,4481,9.359,1,0.44738656282424927
13180,4482,4483,35.48900000000001,0,0.047897204756736755
13181,4483,16132,724.8140000000003,0,0.22265037894248962
13182,4484,4486,17.403,0,0.5164828896522522
13183,4484,4485,98.55599999999998,0,0.5333273410797119
13184,34182,4484,426.9989999999999,0,0.19439366459846497
13185,43734,4484,17.362000000000002,0,0.0
13186,4485,31260,99.997,0,0.0
13187,4485,6567,15.898,0,0.0
13188,6974,4485,34.218,0,0.29902487993240356
13189,4486,6570,432.994,0,0.14333248138427734
13190,4486,43733,17.079,0,0.6891065835952759
13191,6567,4486,98.429,0,0.34625059366226196
13192,4487,43341,6.694,0,0.0
13193,34023,4487,113.118,0,0.0
13194,43342,4487,17.520000000000003,0,0.0
13195,4488,4489,84.383,0,0.4574509859085083
13196,4488,34023,14.538,0,0.5151457786560059
13197,6553,4488,28.227,0,0.054034292697906494
13198,42014,4488,104.497,0,0.0
13199,6975,4489,15.382,1,0.16321462392807007
13200,4489,6975,15.382,1,0.05080443620681763
13201,4489,6555,68.446,0,0.08479957282543182
13202,4489,4490,171.39700000000005,0,0.05195516347885132
13203,4490,6562,42.727,0,0.14830723404884338
13204,4490,6573,24.059,0,0.020276159048080444
13205,31261,4490,15.241,0,0.22249814867973328
13206,4491,5854,34.771,0,0.0
13207,4492,4493,13.999,0,0.0
13208,7733,4492,6.869,0,0.30122849345207214
13209,4493,4494,19.697,0,0.16654247045516968
13210,5822,4493,99.257,0,0.0
13211,5810,4494,104.694,0,0.0
13212,4495,4498,6.631,1,0.0
13213,4498,4495,6.631,1,0.0855119451880455
13214,4498,4496,7.757999999999999,1,0.03022792935371399
13215,4496,4498,7.757999999999999,1,0.0
13216,4496,5714,126.901,0,0.0
13217,4497,4496,53.216,0,0.0
13218,4497,4500,108.365,1,0.0
13219,4500,4497,108.365,1,0.016458304598927498
13220,5719,4497,107.805,0,0.0
13221,4498,4499,37.744,1,0.0855119451880455
13222,4499,4498,37.744,1,0.0012714825570583344
13223,4501,38249,27.002,1,0.0019142180681228638
13224,38249,4501,27.002,1,0.0
13225,4501,38250,15.913,1,0.08786965906620026
13226,38250,4501,15.913,1,0.220575213432312
13227,4501,41270,1009.464,1,0.0
13228,41270,4501,1009.464,1,0.37816593050956726
13229,5448,4502,36.181,1,0.23759689927101135
13230,4502,5448,36.181,1,0.10374873876571655
