edge,s_node,e_node,s_lng,s_lat,e_lng,e_lat,c_lng,c_lat
200,1528,52,12.4995181,41.8972486,12.4974872,41.8986723,12.498502649999999,41.89796045
201,25569,52,12.4968832,41.8981663,12.4974872,41.8986723,12.4971852,41.8984193
202,53,36665,12.4960073,41.8973743,12.4957563,41.8973255,12.4958818,41.8973499
203,36665,53,12.4957563,41.8973255,12.4960073,41.8973743,12.4958818,41.8973499
204,53,39372,12.4960073,41.8973743,12.4975132,41.8976395,12.496760250000001,41.897506899999996
205,53,25569,12.4960073,41.8973743,12.4968832,41.8981663,12.49644525,41.897770300000005
206,25569,53,12.4968832,41.8981663,12.4960073,41.8973743,12.49644525,41.897770300000005
207,2907,53,12.4943572,41.8957863,12.4960073,41.8973743,12.49518225,41.8965803
208,53,2907,12.4960073,41.8973743,12.4943572,41.8957863,12.49518225,41.8965803
209,1525,54,12.493701,41.8947776,12.4932459,41.8946669,12.49347345,41.89472225
210,54,1525,12.4932459,41.8946669,12.493701,41.8947776,12.49347345,41.89472225
211,54,28258,12.4932459,41.8946669,12.4935355,41.8949656,12.493390699999999,41.89481625
212,28258,54,12.4935355,41.8949656,12.4932459,41.8946669,12.493390699999999,41.89481625
213,1513,54,12.4910066,41.8941007,12.4932459,41.8946669,12.49212625,41.8943838
214,54,1513,12.4932459,41.8946669,12.4910066,41.8941007,12.49212625,41.8943838
215,41706,55,12.48804,41.8933187,12.4878737,41.8933059,12.48795685,41.893312300000005
216,55,41706,12.4878737,41.8933059,12.48804,41.8933187,12.48795685,41.893312300000005
217,56,118,12.4822238,41.8966841,12.481922,41.8966132,12.4820729,41.89664865
218,56,16148,12.4822238,41.8966841,12.4806177,41.9005312,12.48142075,41.89860765
219,16148,56,12.4806177,41.9005312,12.4822238,41.8966841,12.48142075,41.89860765
220,119,56,12.4826655,41.8962217,12.4822238,41.8966841,12.48244465,41.8964529
221,56,119,12.4822238,41.8966841,12.4826655,41.8962217,12.48244465,41.8964529
222,2072,56,12.4825288,41.8967597,12.4822238,41.8966841,12.4823763,41.8967219
223,57,26540,12.4797832,41.9024786,12.4792898,41.9023599,12.4795365,41.90241925
224,26540,57,12.4792898,41.9023599,12.4797832,41.9024786,12.4795365,41.90241925
225,57,16151,12.4797832,41.9024786,12.4800639,41.9018573,12.479923549999999,41.902167950000006
226,25558,57,12.4806231,41.9027618,12.4797832,41.9024786,12.480203150000001,41.9026202
227,27857,58,12.4713866,41.8928043,12.4713136,41.8927355,12.4713501,41.892769900000005
228,58,27857,12.4713136,41.8927355,12.4713866,41.8928043,12.4713501,41.892769900000005
229,58,371,12.4713136,41.8927355,12.4665536,41.8964477,12.4689336,41.8945916
230,59,58,12.4721781,41.8921179,12.4713136,41.8927355,12.471745850000001,41.8924267
231,59,24213,12.4721781,41.8921179,12.4725649,41.8924336,12.472371500000001,41.892275749999996
232,24213,59,12.4725649,41.8924336,12.4721781,41.8921179,12.472371500000001,41.892275749999996
233,28271,59,12.4731629,41.8917725,12.4721781,41.8921179,12.4726705,41.8919452
234,60,42013,12.5123286,41.8998199,12.512138,41.900807,12.5122333,41.90031345
235,42013,60,12.512138,41.900807,12.5123286,41.8998199,12.5122333,41.90031345
236,60,3580,12.5123286,41.8998199,12.5112365,41.8993671,12.51178255,41.899593499999995
237,2492,60,12.5138043,41.9003549,12.5123286,41.8998199,12.51306645,41.900087400000004
238,5864,60,12.5123565,41.8997446,12.5123286,41.8998199,12.51234255,41.89978225
239,3717,61,12.5092882,41.8986079,12.5082356,41.9005342,12.5087619,41.899571050000006
240,61,3717,12.5082356,41.9005342,12.5092882,41.8986079,12.5087619,41.899571050000006
241,61,5725,12.5082356,41.9005342,12.5080435,41.9008932,12.50813955,41.9007137
242,5725,61,12.5080435,41.9008932,12.5082356,41.9005342,12.50813955,41.9007137
243,3588,61,12.508592,41.9006005,12.5082356,41.9005342,12.5084138,41.90056735
244,5725,62,12.5080435,41.9008932,12.5079782,41.9010124,12.50801085,41.9009528
245,62,5725,12.5079782,41.9010124,12.5080435,41.9008932,12.50801085,41.9009528
246,62,38531,12.5079782,41.9010124,12.5071695,41.9025045,12.50757385,41.90175845
247,38531,62,12.5071695,41.9025045,12.5079782,41.9010124,12.50757385,41.90175845
248,31090,62,12.5102332,41.9017143,12.5079782,41.9010124,12.5091057,41.90136335
249,63,30330,12.5070116,41.9027733,12.5068745,41.9030637,12.50694305,41.9029185
250,30330,63,12.5068745,41.9030637,12.5070116,41.9027733,12.50694305,41.9029185
251,30332,63,12.5069418,41.9027291,12.5070116,41.9027733,12.5069767,41.9027512
252,63,30332,12.5070116,41.9027733,12.5069418,41.9027291,12.5069767,41.9027512
253,30328,63,12.5071308,41.9028135,12.5070116,41.9027733,12.5070712,41.9027934
254,63,30328,12.5070116,41.9027733,12.5071308,41.9028135,12.5070712,41.9027934
255,38531,63,12.5071695,41.9025045,12.5070116,41.9027733,12.507090550000001,41.9026389
256,63,38531,12.5070116,41.9027733,12.5071695,41.9025045,12.507090550000001,41.9026389
257,30330,64,12.5068745,41.9030637,12.5068594,41.9038302,12.50686695,41.90344695
258,64,30330,12.5068594,41.9038302,12.5068745,41.9030637,12.50686695,41.90344695
259,64,3769,12.5068594,41.9038302,12.5063942,41.9043444,12.5066268,41.9040873
260,3769,64,12.5063942,41.9043444,12.5068594,41.9038302,12.5066268,41.9040873
261,3763,64,12.5092921,41.9038867,12.5068594,41.9038302,12.50807575,41.90385845
262,65,18591,12.5054854,41.9062237,12.5047632,41.9078737,12.505124299999999,41.907048700000004
263,8065,65,12.5045175,41.9056209,12.5054854,41.9062237,12.50500145,41.9059223
264,65,8065,12.5054854,41.9062237,12.5045175,41.9056209,12.50500145,41.9059223
265,24127,65,12.5059474,41.9052122,12.5054854,41.9062237,12.5057164,41.905717949999996
266,65,24127,12.5054854,41.9062237,12.5059474,41.9052122,12.5057164,41.905717949999996
267,18594,65,12.5052371,41.9065976,12.5054854,41.9062237,12.50536125,41.90641065
268,66,23512,12.5046647,41.908063,12.5047014,41.908151,12.50468305,41.908107
269,66,28017,12.5046647,41.908063,12.5045471,41.9081311,12.5046059,41.908097049999995
270,18591,66,12.5047632,41.9078737,12.5046647,41.908063,12.50471395,41.907968350000004
271,67,1602,12.3877738,41.8862126,12.3896388,41.8854137,12.388706299999999,41.885813150000004
272,1600,67,12.3849612,41.8860663,12.3877738,41.8862126,12.386367499999999,41.88613945
273,1601,67,12.3870258,41.885735,12.3877738,41.8862126,12.3873998,41.8859738
274,68,1204,12.3820563,41.8858835,12.3813128,41.8887015,12.38168455,41.8872925
275,68,70,12.3820563,41.8858835,12.380623,41.8842822,12.381339650000001,41.88508285
276,5319,68,12.3841885,41.8857905,12.3820563,41.8858835,12.383122400000001,41.885836999999995
277,69,30092,12.4145115,41.8928277,12.4137307,41.8920906,12.4141211,41.89245915
278,30085,69,12.4165972,41.8944885,12.4145115,41.8928277,12.41555435,41.893658099999996
279,69,30085,12.4145115,41.8928277,12.4165972,41.8944885,12.41555435,41.893658099999996
280,30090,69,12.4143892,41.8926684,12.4145115,41.8928277,12.41445035,41.892748049999994
281,70,2533,12.380623,41.8842822,12.3805881,41.8831549,12.38060555,41.88371855
282,2532,70,12.3807595,41.8877781,12.380623,41.8842822,12.38069125,41.886030149999996
283,71,3550,12.3792649,41.8774539,12.3751249,41.8699458,12.3771949,41.87369985
284,90,71,12.3810956,41.8910199,12.3792649,41.8774539,12.38018025,41.884236900000005
285,2534,71,12.3800289,41.8795469,12.3792649,41.8774539,12.379646900000001,41.8785004
286,72,27323,12.4220873,41.8069885,12.4415652,41.8022823,12.43182625,41.8046354
287,3555,72,12.4186438,41.8075811,12.4220873,41.8069885,12.42036555,41.807284800000005
288,18438,72,12.4198564,41.805642,12.4220873,41.8069885,12.42097185,41.80631525
289,73,1648,12.4485096,41.8014356,12.4497185,41.8012933,12.449114049999999,41.801364449999994
290,13580,73,12.4442841,41.8013996,12.4485096,41.8014356,12.44639685,41.8014176
291,27323,73,12.4415652,41.8022823,12.4485096,41.8014356,12.4450374,41.801858949999996
292,74,5108,12.5697589,41.811156,12.5381314,41.7980487,12.55394515,41.804602349999996
293,653,74,12.5716654,41.813667,12.5697589,41.811156,12.57071215,41.812411499999996
294,657,74,12.5752323,41.8149542,12.5697589,41.811156,12.5724956,41.8130551
295,75,41193,12.6001023,41.8620476,12.6013878,41.8639066,12.60074505,41.862977099999995
296,75,1949,12.6001023,41.8620476,12.6021373,41.8661727,12.6011198,41.86411015
297,11588,75,12.5988788,41.8577993,12.6001023,41.8620476,12.599490549999999,41.85992345
298,76,77,12.601944,41.8651888,12.6010498,41.8653659,12.6014969,41.86527735
299,1673,76,12.6030357,41.8649012,12.601944,41.8651888,12.60248985,41.865044999999995
300,41375,76,12.6019084,41.8643642,12.601944,41.8651888,12.6019262,41.8647765
301,77,1669,12.6010498,41.8653659,12.6003221,41.8648765,12.600685949999999,41.865121200000004
302,77,1668,12.6010498,41.8653659,12.5998719,41.8655403,12.600460850000001,41.865453099999996
303,32850,78,12.5870814,41.868506,12.5864536,41.8687556,12.5867675,41.8686308
304,78,32850,12.5864536,41.8687556,12.5870814,41.868506,12.5867675,41.8686308
305,78,11558,12.5864536,41.8687556,12.5853149,41.8690595,12.58588425,41.86890755
306,11558,78,12.5853149,41.8690595,12.5864536,41.8687556,12.58588425,41.86890755
307,38890,78,12.5862582,41.8685066,12.5864536,41.8687556,12.586355900000001,41.8686311
